$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check9/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check9/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check9/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : deep  mode is enabled.
2026-08-20 17:45:55 +0000: Memory Usage (130064K) : Applying implicit connections (case-sensitive, pattern supported) for nets: sub, sub!
2026-08-20 17:45:55 +0000: Memory Usage (131308K) : Netlist file: /workspace/layout/blocks/out/driver_stage/check9/x.cdl
2026-08-20 17:45:55 +0000: Memory Usage (131308K) : LVS extracted netlist at: /workspace/layout/blocks/out/driver_stage/check9/lvs/driver_dut_extracted.cir
2026-08-20 17:45:55 +0000: Memory Usage (131308K) : Applying SRAM integration support.
2026-08-20 17:45:55 +0000: Memory Usage (131308K) : Starting SG13G2 LVS runset
2026-08-20 17:45:55 +0000: Memory Usage (131308K) : Read in polygons from layers.
2026-08-20 17:45:55 +0000: Memory Usage (132460K) : activ_drw has 899 polygons
2026-08-20 17:45:55 +0000: Memory Usage (132460K) : activ_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (132588K) : activ has 899 polygons
2026-08-20 17:45:55 +0000: Memory Usage (132676K) : activ_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : activ_mask has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : activ_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : activ_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : activ_iOPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : activ_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : biwind_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : biwind_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_drw has 140 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly has 140 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_pin has 119 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_iOPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : gatpoly_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : cont_drw has 14577 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : cont_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133188K) : nsd_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133316K) : nsd_block has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133316K) : metal1_drw has 1558 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133316K) : metal1_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133444K) : metal1_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133444K) : metal1 has 1558 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133572K) : metal1_pin has 750 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133572K) : metal1_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133700K) : metal1_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133956K) : metal1_text has 5 polygons
2026-08-20 17:45:55 +0000: Memory Usage (133956K) : metal1_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134084K) : metal1_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134084K) : metal1_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134084K) : metal1_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134212K) : metal1_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134212K) : passiv_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134212K) : passiv_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134340K) : passiv_sbump has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134340K) : passiv_pillar has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134340K) : passiv_pdl has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134468K) : metal2_drw has 571 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134468K) : metal2_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134468K) : metal2_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134596K) : metal2 has 571 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134596K) : metal2_pin has 10 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134596K) : metal2_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134596K) : metal2_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134596K) : metal2_text has 3 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134724K) : metal2_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134724K) : metal2_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134724K) : metal2_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134852K) : metal2_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134852K) : metal2_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134852K) : baspoly_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134852K) : baspoly_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134980K) : psd_drw has 515 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134980K) : nldb_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134980K) : digibnd_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (134980K) : via1_drw has 7650 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135108K) : backmetal1_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135108K) : backmetal1_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135108K) : backmetal1_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135108K) : backmetal1_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135236K) : backmetal1_nofill has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135236K) : backmetal1_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135236K) : backmetal1_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135236K) : backmetal1_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135364K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135364K) : backmetal1_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135364K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135364K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135492K) : backpassiv_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135492K) : res_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135492K) : sram_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135620K) : trans_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135620K) : ind_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135620K) : ind_pin has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135620K) : ind_text has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135748K) : salblock_drw has 12 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135748K) : via2_drw has 838 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135748K) : metal3_drw has 62 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3 has 62 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_pin has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : metal3_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : nwell_drw has 14 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : nwell_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : nwell_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : nbulay_drw has 1 polygons
2026-08-20 17:45:55 +0000: Memory Usage (135876K) : nbulay_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136004K) : nbulay_block has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136004K) : emwind_drw has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136004K) : emwind_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136004K) : deepco_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136004K) : mim_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : edgeseal_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : substrate_drw has 500 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : substrate_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : dfpad_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : dfpad_pillar has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136132K) : dfpad_sbump has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : thickgateox_drw has 1 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : pldb_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : pwell_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : pwell_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : pwell_block has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136260K) : ic_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : via3_drw has 1035 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : metal4_drw has 29 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : metal4_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : metal4_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : metal4 has 29 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136388K) : metal4_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136516K) : metal4_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136516K) : metal4_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136516K) : metal4_text has 3 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136516K) : metal4_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : metal4_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : metal4_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : metal4_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : metal4_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : heattrans_drw has 123 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : heatres_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136644K) : fbe_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : empoly_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : digisub_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : text_drw has 655 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : via4_drw has 1029 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : metal5_drw has 58 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136772K) : metal5_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5 has 58 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (136900K) : metal5_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : metal5_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : metal5_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : metal5_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : metal5_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : metal5_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137028K) : radhard_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137156K) : memcap_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137156K) : varicap_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137156K) : intbondvia_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137156K) : intbondmet_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137284K) : devbondvia_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137284K) : devbondmet_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137284K) : devtrench_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137284K) : redist_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : graphbot_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : graphtop_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : antvia1_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : antmetal2_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : graphcont_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137412K) : siwg_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : siwg_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : siwg_nofill has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : sigrating_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : singrating_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : graphpas_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137540K) : emwind3_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137668K) : emwihv3_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137668K) : redbulay_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137668K) : smos_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137668K) : graphpad_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137668K) : polimide_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137796K) : polimide_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137796K) : recog_drw has 1 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137796K) : recog_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137796K) : recog_esd has 5 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137924K) : recog_diode has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137924K) : recog_tsv has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137924K) : recog_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (137924K) : recog_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138052K) : recog_pillar has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138052K) : recog_sbump has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138052K) : recog_otp has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138052K) : recog_pdiode has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138180K) : recog_mom has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138180K) : recog_momf has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138180K) : recog_pcm has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138180K) : colopen_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138308K) : graphmetal1_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138308K) : graphmetal1_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138308K) : graphmetal1_nofill has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138308K) : graphmetal1_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138436K) : graphmetal1_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138436K) : graphmet1l_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138436K) : graphmet1l_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138436K) : graphmet1l_nofill has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138564K) : graphmet1l_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138564K) : graphmet1l_OPC has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138564K) : extblock_drw has 6 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138564K) : nldd_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138564K) : pldd_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138692K) : next_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138692K) : pext_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138692K) : nexthv_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138692K) : pexthv_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138692K) : graphgate_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138820K) : sinwg_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138820K) : sinwg_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138820K) : sinwg_nofill has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138820K) : mempad_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138820K) : topvia1_drw has 483 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1_drw has 56 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1 has 56 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (138948K) : topmetal1_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139076K) : topmetal1_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139076K) : topmetal1_text has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139076K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139076K) : topmetal1_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139204K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139204K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139204K) : inldpwl_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139204K) : polyres_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139332K) : polyres_pin has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139332K) : vmim_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139332K) : nbulaycut_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139332K) : antmetal1_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139460K) : topvia2_drw has 234 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139588K) : topmetal2_drw has 69 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139716K) : topmetal2_filler has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139716K) : topmetal2_slit has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139716K) : topmetal2 has 69 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139716K) : topmetal2_pin has 4 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139844K) : topmetal2_mask has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139844K) : topmetal2_nofill has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139844K) : topmetal2_text has 8 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139844K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139972K) : topmetal2_res has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139972K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139972K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (139972K) : snsring_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140100K) : sensor_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140100K) : snsarms_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140100K) : snscmosvia_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140100K) : colwind_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140228K) : flm_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : hafniumox_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : memvia_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : thinfilmres_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : rfmem_drw has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_drw has 2 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2m3 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2m4 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2m5 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2tm1 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2tm2 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m3m4 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m3m5 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m3tm1 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m3tm2 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m4m5 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m4tm1 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m4tm2 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m5tm1 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m5tm2 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_tm1tm2 has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m1sub has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m2sub has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m3sub has 0 polygons
2026-08-20 17:45:55 +0000: Memory Usage (140356K) : norcx_m4sub has 0 polygons
