$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe6/esd_place/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe6/esd_place/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe6/esd_place/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:44:13 +0000: Memory Usage (128812K) : Starting running SG13G2 Klayout LVS runset on /workspace/layout/blocks/out/driver_stage/probe6/esd_place/driver_dut.gds
2026-08-20 16:44:13 +0000: Memory Usage (128812K) : Ruby Version for klayout: 3.2.3
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Loading database to memory is complete.
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : SG13G2 Klayout LVS runset output at: /workspace/layout/blocks/out/driver_stage/probe6/esd_place/lvs/driver_dut.lvsdb
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Evaluate switches.
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Extracted netlist with net names: true
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Extracted netlist with comments in details: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected NET_ONLY option: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected LAYOUT_NETLIST option: (none)
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected IGNORE_TOP_PORTS_MISMATCH option: true
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected IMPLICIT_NETS option: sub,sub!
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected TOP_LVL_PINS option: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected COMBINE DEVICES option: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected PURGE option: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected PURGE_NETS option: false
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected SIMPLIFY option: true
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected SERIES_RES option: true
2026-08-20 16:44:13 +0000: Memory Usage (129896K) : Selected PARALLEL_RES option: true
